w_geocode,C000
480050006004033,7
480050006004035,2
480050007001000,74
480050007001003,79
480050007001005,2
480050007001011,4
480050007001016,2
480050007001018,1
480050007001026,2
480050007001028,5
480050007001029,23
480050007002000,12
480050007002001,1
480050007002004,19
480050007002005,7
480050007002007,12
480050007002008,21
480050007002010,7
480050007002011,36
480050007002012,364
480050007002013,38
480050007002016,1
480050007002018,106
480050007002019,1
480050007002026,2
480050007002027,4
480050007002029,20
480050007002036,3
480050007002037,217
480050007002038,4
480050007002039,12
480050007002042,2
480050007002043,32
480050007002045,13
480050007002046,57
480050007002052,12
480050007002054,4
480050007002060,1
480050007002061,11
480050007002062,1
480050007003011,9
480050007003013,7
480050007003014,1
480050007003015,21
480050007003016,2
480050007003017,32
480050007003024,2
480050007003026,15
480050007003030,2
480050007003031,14
480050007003036,4
480050007003046,509
480050007003051,8
480050007003052,15
480050007003053,12
480050007003054,1
480050007003055,5
480050007003056,142
480050007003058,46
480050007003062,16
480050007003063,1
480050008001000,8
480050008001006,1
480050008001008,41
480050008001012,48
480050008001013,146
480050008001015,1
480050008001016,2
480050008001021,16
480050008001022,2
480050008001023,28
480050008001026,2
480050008001027,7
480050008001029,5
480050008001030,2
480050008002003,47
480050008002007,12
480050008002008,7
480050008002011,1
480050008002021,1
480050008002026,11
480050008002027,4
480050008002028,5
480050008002029,68
480050008003000,67
480050008003001,702
480050008003002,5
480050008003004,179
480050008003009,42
480050008003011,37
480050008003012,5
480050008003013,77
480050008003014,18
480050008003016,1
480050008003022,66
480050008003023,7
480050008003027,39
480050008004009,3
480050008004013,26
480050008004014,2
480050008004015,25
480050008004016,12
480050008004018,4
480050008004021,15
480050008004022,23
480050008004024,6
480050009011000,1
480050009011020,11
480050009011028,1
480050009011029,1
480050009012001,1
480050009012004,4
480050009012009,6
480050009012020,4
480050009012023,2
480050009012025,6
480050009012030,1
480050009012049,8
480050009013000,1
480050009013012,16
480050009013013,7
480050009013017,2
480050009013018,62
480050009013019,49
480050009013024,16
480050009013027,1
480050009014000,9
480050009014011,35
480050009014013,16
480050009014018,5
480050009014020,3
480050009014024,3
480050009014026,3
480050009014027,41
480050009014030,18
480050009021000,47
480050009021001,14
480050009021006,12
480050009021007,1
480050009021011,28
480050009021021,33
480050009021030,1
480050009022000,11
480050009022001,6
480050009022003,42
480050009022006,1
480050009022009,77
480050009022023,53
480050009022024,6
480050009022025,390
480050009022029,12
480050010011000,40
480050010011010,6
480050010011027,1
480050010011042,47
480050010011106,9
480050010011117,1
480050010012000,4
480050010012005,40
480050010012012,121
480050010012014,26
480050010012019,16
480050010012022,23
480050010012038,215
480050010012040,1
480050010012043,18
480050010012044,15
480050010012055,5
480050010012057,2
480050010012074,9
480050010013009,108
480050010013016,9
480050010013021,8
480050010021001,3
480050010021021,1
480050010021067,40
480050010021168,4
480050010022004,120
480050010022026,202
480050010022030,3
480050010022048,90
480050011001034,3
480050011001036,1
480050011001039,4
480050011001040,10
480050011001043,2
480050011001046,1
480050011001072,7
480050011002000,80
480050011002008,29
480050011002010,72
480050011002011,9
480050011002012,2
480050011002014,2
480050011002025,6
480050011002028,2
480050011002030,1
480050011002036,9
480050011002037,5
480050011002042,7
480050011002052,7
480050011002057,2
480050011002059,6
480050011003018,7
480050011003019,3
480050011003027,7
480050011003028,13
480050011003029,7
480050012001021,110
480050012001058,4
480050012001064,3
480050012001105,5
480050012001141,6
480050012001161,1
480050012002019,4
480050012003034,2
480050013001000,3
480050013001002,2
480050013001004,2
480050013001031,3
480050013001053,2
480050013001058,2
480050013001063,8
480050013001068,13
480050013002011,3
480050013002012,1
480050013002016,1
480050013002045,1
480050013002107,24
480050013003002,9
480050013003008,1
480079501001052,2
480079501001081,1
480079501001112,2
480079501001113,1
480079501001116,2
480079501001122,2
480079501001137,1
480079501001296,6
480079501001303,1
480079501001317,1
480079501002002,1
480079501002005,4
480079501002010,2
480079501002014,4
480079501002022,1
480079501002038,2
480079501003005,2
480079501003009,1
480079501003021,4
480079501003028,1
480079501003033,2
480079501003060,11
480079501003064,9
480079501003073,3
480079501003114,3
480079501003127,1
480079501003131,2
480079501003132,5
480079501004008,3
480079501004009,6
480079501004015,4
480079501004019,2
480079501004022,6
480079501004024,21
480079501004026,9
480079501005007,11
480079501005009,4
480079501005021,1
480079501005023,2
480079501005043,1
480079502001007,2
480079502001009,11
480079502002000,5
480079502002002,2
480079502002006,1
480079502002009,6
480079502002010,3
480079502002014,4
480079502002017,2
480079502002019,5
480079502002028,1
480079502002036,4
480079502002039,1
480079502002044,11
480079502002045,1
480079502002046,1
480079502002047,4
480079502002054,1
480079503001002,26
480079503001009,21
480079503001012,120
480079503001015,8
480079503001016,1
480079503001022,2
480079503001023,1
480079503001024,70
480079503001025,4
480079503002000,296
480079503002003,1
480079503002020,9
480079503002033,3
480079503002034,1
480079503002035,1
480079503002036,1
480079503002041,1
480079503002056,33
480079503002062,1
480079503002067,1
480079503002068,1
480079503002069,10
480079503002070,2
480079503002071,1
480079503002072,5
480079503002081,2
480079503002084,2
480079503002085,4
480079503002087,1
480079503002088,3
480079503002089,123
480079503002095,3
480079503002097,2
480079503002101,4
480079503002103,2
480079503002105,1
480079503002109,1
480079503002110,2
480079503002112,17
480079503002113,1
480079503003001,1
480079503003014,3
480079503003019,2
480079503003026,1
480079503003068,1
480079503003076,3
480079503004026,1
480079503004053,3
480079503004055,4
480079503004072,16
480079504001003,7
480079504001006,1
480079504001008,4
480079504001009,8
480079504001014,4
480079504001018,21
480079504001022,2
480079504001046,1
480079504001049,9
480079504001050,1
480079504001053,5
480079504001054,7
480079504001068,1
480079504001071,5
480079504002000,2
480079504002004,3
480079504002034,1
480079504002043,3
480079504002070,3
480079504003000,2
480079504003005,29
480079504003009,1
480079504003017,2
480079505001010,14
480079505001021,53
480079505001030,3
480079505001031,18
480079505001044,26
480079505001046,1
480079505001100,328
480079505001119,1
480079505001120,4
480079505002001,2
480079505002004,4
480079505002034,1
480079505003008,9
480079505003019,4
480079505003020,8
480079505003026,17
480079505003029,1
480079505003038,2
480079505003043,33
480079505004000,16
480079505004021,3
480079505004036,2
480079505004067,21
480079505004069,18
480079505004073,2
480079505004075,2
480079505004090,2
480079505004092,3
480090201001003,2
480090201001009,27
480090201001015,5
480090201001024,2
480090201001031,6
480090201001032,6
480090201001034,1
480090201001039,3
480090201002005,1
480090201002007,6
480090201002018,3
480090201002021,16
480090201002022,7
480090201002027,5
480090201002036,4
480090201002037,1
480090201002048,3
480090201002051,5
480090201002053,7
480090202001160,5
480090202001214,1
480090202001601,2
480090202001630,1
480090202002013,1
480090202002021,4
480090202002030,8
480090202002037,1
480090202002038,13
480090202002052,1
480090202002063,11
480090202002072,2
480090202002085,1
480090202003006,9
480090202003008,5
480090202003044,1
480090202003054,10
480090202003063,1
480090202003069,1
480090202003077,14
480090202003078,2
480090202003089,1
480090203001042,4
480090203001146,1
480090203001150,4
480090203001152,7
480090203001161,2
480090203001169,2
480090203001170,1
480090203001179,3
480090203002057,6
480090203002058,8
480090203002059,7
480090203002073,2
480090203002074,2
480090203002081,15
480090203002085,1
480090203002086,18
480090203002090,46
480090203002139,3
480090203003000,7
480090203003006,3
480090203003024,5
480090203003050,4
480090203003098,17
480090203004001,2
480090203004003,2
480090203004005,4
480090203004011,15
480090203004021,2
480119501001035,25
480119501001065,2
480119501001221,1
480119501001283,1
480119501002005,4
480119501002008,4
480119501003060,1
480119501003080,4
480119501003081,2
480119501003084,1
480119501003088,1
480119501003090,2
480119501003094,14
480119501003101,5
480119501003107,4
480139601001027,4
480139601001053,1
480139601001090,45
480139601001104,5
480139601001105,207
480139601002006,4
480139601002021,2
480139601002025,16
480139601002026,7
480139601002029,31
480139601002039,30
480139601002052,6
480139601002053,94
480139601002063,1
480139601002066,6
480139601002069,9
480139601002089,174
480139601002103,2
480139601002115,3
480139601002116,1
480139601002139,1
480139601002142,8
480139601002146,2
480139601002149,1
480139601002157,5
480139601002158,1
480139601002159,2
480139601002160,13
480139601002163,9
480139601002170,75
480139601002172,4
480139601002174,274
480139601002176,30
480139601002178,1
480139601002184,1
480139601002204,197
480139601002212,39
480139601003000,45
480139601003003,3
480139601003009,5
480139601003021,1
480139601003033,1
480139601003063,42
480139601003077,15
480139601003085,2
480139601004002,6
480139601004025,6
480139601004043,1
480139601004053,7
480139601004056,4
480139601004070,1
480139601004100,2
480139601004259,1
480139601004268,1
480139602011003,4
480139602011007,55
480139602011022,8
480139602011039,3
480139602011043,6
480139602011044,19
480139602011054,4
480139602012000,2
480139602012010,15
480139602012012,57
480139602012019,33
480139602012020,8
480139602012024,66
480139602012026,1
480139602012029,1
480139602013002,3
480139602013009,14
480139602013011,4
480139602013026,188
480139602013031,3
480139602013036,15
480139602013056,4
480139602021013,1
480139602021035,1
480139602021044,2
480139602021047,1
480139602021049,1
480139602022014,4
480139602022017,1
480139602022020,62
480139602023001,17
480139602023068,5
480139602023097,10
480139602024002,2
480139602024025,8
480139602024043,2
480139602024053,27
480139603001002,2
480139603001025,7
480139603001027,4
480139603001044,2
480139603001045,2
480139603001046,182
480139603001047,1
480139603001048,1
480139603001061,6
480139603001066,3
480139603001070,4
480139603001089,2
480139603002000,222
480139603002044,1
480139603002051,13
480139603002072,4
480139604011003,3
480139604011038,10
480139604011061,1
480139604011064,20
480139604021000,2
480139604021008,6
480139604021018,6
480139604021019,3
480139604021020,3
480139604021023,4
480139604021025,2
480139604021027,1
480139604021030,11
480139604021031,8
480139604021034,28
480139604021035,2
480139604021036,1
480139604021037,14
480139604021039,7
480139604022005,3
480139604022010,1
480139604022013,43
480139604022014,11
480139604022026,4
480139604022030,1
480139604022036,1
480139604022045,13
480139604022051,7
480139604023001,55
480139604023021,7
480139604023022,1
480139604023043,1
480139604024000,9
480139604024001,9
480139604024014,1
480139604024021,12
480139604024031,4
480139604024036,1
480139604024046,35
480139604025000,366
480139604025006,4
480139604025011,11
480139604025014,3
480139604025015,2
480139604025019,2
480139604025020,15
480139604025022,10
480139604025023,13
480139604025024,48
480139604025026,7
480139604025027,9
480139604025028,17
480139604025029,2
480139604025031,67
480139604025033,35
480139604025042,6
480139604025043,1
480139604025049,2
480139604025051,44
480139604025060,2
480139604025064,3
480139604025068,8
480139604025072,1
480139604025075,12
480139604025076,5
480139604025083,3
480139605001000,8
480139605001023,1
480139605001042,1
480139605001048,9
480139605001054,56
480139605001067,3
480139605001069,8
480139605001085,4
480139605001091,7
480139605001093,71
480139605001104,5
480139605001117,7
480139605002017,40
480139605002030,2
480139605002039,45
480139605002040,4
480139605002042,3
480139605002043,2
480139605002045,3
480139605002057,1
480139605002106,13
480139606001031,3
480139606001032,8
480139606001040,3
480139606001044,4
480139606001056,2
480139606001057,2
480139606001061,4
480139606001062,2
480139606001066,2
480139606001071,9
480139606001073,16
480139606001088,127
480139606001092,1
480139606001117,1
480139606001118,15
480139606001131,2
480139606001136,1
480139606001137,21
480139606001155,2
480139606001168,39
480139606001173,7
480139606001176,11
480139606001177,2
480139606001178,2
480139606001185,1
480139606001190,3
480139606001194,2
480139606001199,14
480139606001200,1
480139606001204,3
480139606001206,11
480139606001207,228
480139606001209,162
480139606001211,7
480139606001212,9
480139606001220,7
480139606001223,1
480139606001229,2
480139606002005,12
480139606002027,6
480139606002036,1
480139606002052,4
480139606002068,60
480139606002070,6
480139606002071,6
480139606002077,2
480139606003000,10
480139606003003,2
480139606003016,19
480139606003022,8
480139606003038,11
480139606003054,9
480139606003055,3
480139606003062,7
480139606003076,2
480139606003077,148
480139606003081,1
480139606003094,2
480139606003097,1
480139606003098,8
480139606004038,2
480139606004041,1
480139606004142,8
480139606004143,1
480139606004154,2
480139606004198,2
480157601001027,1
480157601001043,7
480157601001044,6
480157601001048,3
480157601001059,1
480157601001060,24
480157601001062,5
480157601001064,1
480157601001069,2
480157601001083,1
480157601001099,4
480157601002053,14
480157601002064,6
480157601002067,2
480157601002100,3
480157601002104,7
480157601002122,11
480157601002129,2
480157602001009,1
480157602001013,56
480157602001015,2
480157602001057,16
480157602001059,4
480157602001062,2
480157602001073,5
480157602001077,2
480157602002015,9
480157602002023,22
480157602002034,3
480157602002036,9
480157602002048,28
480157602002050,9
480157602002054,7
480157602002057,1
480157602002082,19
480157602002095,9
480157602002097,2
480157602002098,33
480157602002099,9
480157602003005,1
480157602003015,4
480157602003017,2
480157602003019,6
480157602003024,60
480157602003037,5
480157602003041,1
480157602003045,1
480157602003060,17
480157602003064,66
480157602004006,26
480157602004010,43
480157602004012,45
480157602004023,7
480157602004032,2
480157602004034,4
480157602004036,3
480157602004038,24
480157602004039,2
480157602004040,2
480157602004041,3
480157602004042,4
480157602004046,5
480157602004048,9
480157602004053,5
480157602004056,2
480157602004059,2
480157602004060,5
480157602004065,112
480157602004067,46
480157602004069,1
480157602004075,3
480157603001010,18
480157603001063,4
480157603001072,5
480157603001073,82
480157603001078,46
480157603001080,1
480157603001087,2
480157603001094,2
480157603001099,4
480157603001107,1
480157603001113,4
480157603002000,1
480157603002002,3
480157603002003,4
480157603002006,2
480157603002013,2
480157603002018,2
480157603002027,6
480157603002028,8
480157603002039,2
480157603002042,18
480157603002086,40
480157603002090,3
480157603002093,3
480157603002147,15
480157603002155,2
480157603003000,1
480157603003006,3
480157603003025,3
480157603003026,4
480157603003055,9
480157603003062,8
480157603003065,2
480157603003069,1
480157603003072,2
480157603003081,70
480157603003097,2
480157603003099,1
480157603003115,38
480157603003116,7
480157603003119,6
480157603003120,1
480157603004006,22
480157603004009,2
480157603004010,5
480157603004012,3
480157603004022,320
480157603004035,14
480157604001002,1
480157604001004,11
480157604001010,1
480157604001011,1
480157604001017,4
480157604001052,4
480157604001056,5
480157604001126,16
480157604001151,1
480157604001161,4
480157604001165,11
480157604001185,4
480157604002031,1
480157604002047,3
480157604002073,3
480157604002075,52
480157604002076,2
480157604002082,1
480157604003007,5
480157604003011,2
480157604003016,3
480157604003040,4
480157604003090,2
480157604003119,2
480157604003121,16
480157604003124,1
480157604003126,9
480157604003148,4
480157604003155,53
480157604003163,45
480157605011000,1
480157605011027,6
480157605011034,9
480157605012006,8
480157605012020,2
480157605012021,93
480157605012047,6
480157605012051,16
480157605012059,4
480157605012067,2
480157605012075,10
480157605012077,3
480157605012079,10
480157605012081,1
480157605012103,6
480157605012112,1
480157605013004,91
480157605013012,5
480157605013020,1
480157605013024,28
480157605013027,8
480157605013028,5
480157605013031,3
480157605013035,3
480157605013036,5
480157605013045,2
480157605013049,6
480157605013054,3
480157605013056,42
480157605013057,2
480157605013059,36
480157605013062,5
480157605013063,5
480157605013066,2
480157605021009,5
480157605021017,10
480157605021027,2
480157605021038,24
480157605021039,1
480157605021041,6
480157605021047,1
480157605021057,82
480157605022018,134
480157605022041,4
480157605022074,1
480157605022075,2
480157605022078,2
480157605023007,10
480157605023009,4
480157605023012,19
480157605023014,75
480157605023018,46
480157605023026,1
480157605023028,1
480157605024003,6
480157605024006,11
480157605024011,2
480157605024013,1
480157605024015,13
480157605024016,7
480157605024020,1
480157605024021,3
480157605024022,5
480157605024025,1
480157605024029,24
480157605024034,6
480157605024035,1
480157605024036,12
480157605024040,160
480157605024041,4
480157605024050,12
480157605024063,11
480157605024067,3
480157605024070,25
480157605024074,25
480179501001017,2
480179501001025,29
480179501001026,14
480179501001056,11
480179501001057,4
480179501001060,19
480179501001063,3
480179501001064,8
480179501001065,2
480179501001066,23
480179501001072,7
480179501001089,3
480179501002003,6
480179501002005,8
480179501002006,4
480179501002007,2
480179501002009,1
480179501002010,16
480179501002018,18
480179501002071,4
480179501002072,4
480179501002088,1
480179501002106,7
480179501002108,4
480179501002110,1
480179501002112,23
480179501002118,2
480179501003000,3
480179501003002,4
480179501003028,2
480179501003029,17
480179501003030,2
480179501003041,35
480179501003046,5
480179501004000,3
480179501004001,2
480179501004005,43
480179501004008,19
480179501004009,3
480179501004021,4
480179501004029,2
480179501005010,2
480179501005049,16
480179501005052,3
480179501005056,13
480179501005098,12
480179501005113,1
480179501005118,3
480179501005138,1
480179501005151,40
480179501005281,2
480179501006055,4
480179501006138,2
480179501006158,6
480179501006168,1
480179501006242,15
480179501006430,1
480179501006479,3
480179501006763,6
480179501006846,1
480190001011000,9
480190001011016,2
480190001011028,13
480190001011059,2
480190001011064,1
480190001011071,3
480190001011072,2
480190001011077,3
480190001011080,2
480190001011089,3
480190001011106,1
480190001011129,1
480190001011135,28
480190001011138,3
480190001011168,2
480190001011197,7
480190001011230,1
480190001011234,2
480190001012004,1
480190001012016,6
480190001012019,1
480190001012023,1
480190001012029,1
480190001012043,23
480190001012046,2
480190001012054,1
480190001012055,4
480190001012060,3
480190001012061,12
480190001012065,196
480190001012067,7
480190001012069,15
480190001012076,13
480190001012080,1
480190001012081,10
480190001012082,5
480190001012091,1
480190001012092,6
480190001012094,14
480190001012095,3
480190001012103,4
480190001012104,4
480190001012105,8
480190001012139,5
480190001021002,1
480190001021008,1
480190001021029,3
480190001021034,2
480190001021061,11
480190001021065,3
480190001021113,2
480190001022010,1
480190001022032,4
480190001022039,1
480190001022074,3
480190001022090,5
480190001022092,1
480190001022107,1
480190001022148,9
480190001022152,4
480190001022162,5
480190001022190,70
480190001022193,3
480190001022195,5
480190001023013,4
480190001023017,8
480190001023046,1
480190001023051,1
480190001023065,3
480190001023083,4
480190001023095,2
480190001023142,1
480190002001009,32
480190002001028,1
480190002001031,2
480190002001093,2
480190002001131,2
480190002001172,11
480190002001173,1
480190002001262,2
480190002001301,49
480190002001311,2
480190002002000,3
480190002002065,24
480190002002080,1
480190002002137,18
480190002002158,4
480190002002187,3
480190002002245,1
480190003001015,1
480190003001022,2
480190003001027,1
480190003002004,7
480190003002022,1
480190003002042,7
480190003002052,3
480190003002059,5
480190003002060,1
